id,fashion,mood,lyrics,style,descr
9,Lingerie/Sexy,"เซ็กซี่, เย้ายวน",,"R&B, Slow Jam, Smooth Jazz, Saxophone, Romantic, Night vibe","ชุดชั้นใน, ชุดนอน"
10,Jeans/Denim,"ร็อค, ลุยๆ",,"Indie Rock, Garage Rock, Electric Guitar, Raw, Driving, Cool",กางเกงยีนส์
11,Smartphone Launch,"ล้ำสมัย, ตื่นเต้น",,"Future Bass, Clean, Tech, Glitch, Synths, Uplifting, Commercial",เปิดตัวมือถือรุ่นใหม่
12,Gaming Gear,"ดุดัน, อีสปอร์ต",,"Dubstep, Heavy Bass, Electronic, Cyberpunk, Intense, Action",เมาส์/คีย์บอร์ดเกมมิ่ง
13,Smart Home,"ผ่อนคลาย, อัจฉริยะ",,"Ambient, Intelligent, Soft Electronic, Plucks, Minimal, Clean","หลอดไฟ, หุ่นยนต์ดูดฝุ่น"
14,Camera/Drone,"ยิ่งใหญ่, มุมกว้าง",,"Cinematic, Orchestral, Inspiring, Strings, Epic, Building up","โดรน, กล้องถ่ายภาพ"
15,Gadget Review,"สนุก, ขี้เล่น",,"Electro Swing, Bouncy, Catchy, Vintage sample, Modern beat",รีวิวแกดเจ็ตแปลกๆ
16,App Tutorial,"มีสมาธิ, ชัดเจน",,"Corporate, Uplifting, Muted Guitar, Light, Positive, Background",สอนใช้แอปฯ
17,Cyber Security,"ลึกลับ, ดิจิทัล",,"Dark Synth, Matrix style, Techno, Pulsing, Tension, Code",โปรแกรมสแกนไวรัส
18,Audio/Speaker,"เบสลึก, ทดสอบเสียง",,"Trap, Heavy 808, Sub Bass, Crisp Hi-hats, Audiophile test","หูฟัง, ลำโพงบลูทูธ"
19,DIY/Maker,"สร้างสรรค์, ทำเอง",,"Acoustic Folk, Stomps and Claps, Guitar, Progress, Building",คลิปประกอบคอมฯ
20,Sale Tech,"เร็ว, เร่งด่วน",,"Eurobeat, Fast, Racing, High BPM, Alert, Excitement",นาทีทองสินค้าไอที